"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
1277,250,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1278,251,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1279,252,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1280,253,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1281,254,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1282,255,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1283,256,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1284,257,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1285,258,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1286,259,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1287,260,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1288,261,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1289,262,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1290,263,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1291,264,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1292,265,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1293,266,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1294,267,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1295,268,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1296,269,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1325,270,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1326,271,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1353,272,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1369,273,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
1404,274,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1405,275,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1406,276,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1407,277,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1408,278,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1409,279,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1410,280,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1411,281,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1412,282,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1413,283,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1414,284,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1415,285,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1416,286,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1417,287,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1418,288,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1419,289,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1420,290,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1421,291,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1422,292,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1423,293,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1424,294,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1425,295,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1426,296,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1427,297,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1428,298,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1429,299,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1430,300,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1431,301,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1432,302,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1433,303,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1434,304,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1435,305,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1436,306,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1437,307,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1438,308,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1439,309,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1440,310,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1441,311,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1467,312,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1468,313,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1470,314,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1514,315,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1534,316,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1535,317,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1536,318,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1537,319,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1538,320,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1563,321,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1565,322,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1568,323,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
1573,324,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
1575,325,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1601,326,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1629,327,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1630,328,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1659,329,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1668,330,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1672,331,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1675,332,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1693,333,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1694,334,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1704,335,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1728,336,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
1730,337,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1731,338,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1732,339,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1733,340,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1734,341,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1735,342,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1736,343,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1737,344,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1738,345,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1739,346,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1740,347,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1741,348,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1742,349,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1743,350,2,username,"El campo no correponde a un username en la tabla usarios Ases."
1744,351,2,username,"El campo no correponde a un username en la tabla usarios Ases."
