"No. linea - archivo original","No. linea - archivo registros erroneos","No. columna","Nombre Columna","detalle error"
2462,565,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2463,566,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2464,567,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2465,568,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2466,569,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2467,570,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2468,571,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2469,572,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2470,573,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2471,574,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2472,575,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2473,576,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2474,577,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2475,578,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2476,579,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2477,580,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2478,581,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2479,582,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2480,583,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2481,584,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2482,585,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2483,586,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2484,587,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2485,588,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2486,589,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2487,590,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2488,591,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2489,592,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2490,593,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2557,594,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2575,595,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2601,596,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2609,597,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2649,598,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2654,599,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2663,600,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2683,601,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2688,602,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2705,603,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2706,604,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2722,605,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2738,606,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2739,607,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2838,608,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2867,609,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2881,610,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2890,611,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2942,612,1,seguimientoid,"El campo debe seer un valor numérico no nulo."
2943,613,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2944,614,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2947,615,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2952,616,2,username,"El campo no correponde a un username en la tabla usarios Ases."
2957,617,1,seguimientoid,"El campo no corresponde  aun id en la tabla seguimiento."
2960,618,2,username,"El campo no correponde a un username en la tabla usarios Ases."
